Export of Imageset Testgame_2018_02_02_Antman (ball annotations in bounding boxes)
[team|NaoDevils]
[set|Testgame_2018_02_02_Antman]
[format: "label::annotation_type|filename|img_width|img_height|x1|y1|x2|y2|center_x|center_y|width|height"]


label::ball|16_02_2018__11_18_08_0060_upper.png|640|480|339|167|357|187|348.0|177.0|18|20
label::ball|16_02_2018__11_18_08_0067_upper.png|640|480|167|97|202|129|184.5|113.0|35|32
label::ball|16_02_2018__11_18_08_0068_upper.png|640|480|558|123|601|174|579.5|148.5|43|51
label::ball|16_02_2018__11_18_08_0072_upper.png|640|480|346|137|392|190|369.0|163.5|46|53
label::ball|16_02_2018__11_18_08_0073_upper.png|640|480|538|187|606|246|572.0|216.5|68|59
label::ball|16_02_2018__11_18_08_0074_upper.png|640|480|291|156|353|223|322.0|189.5|62|67
label::ball|16_02_2018__11_18_08_0074_upper.png|640|480|36|0|163|183|99.5|91.5|127|183
label::ball|16_02_2018__11_18_08_0074_upper.png|640|480|118|0|205|172|161.5|86.0|87|172
label::ball|16_02_2018__11_18_08_0075_upper.png|640|480|53|3|168|197|110.5|100.0|115|194
label::ball|16_02_2018__11_18_08_0075_upper.png|640|480|144|0|241|177|192.5|88.5|97|177
label::ball|16_02_2018__11_18_08_0075_upper.png|640|480|286|158|341|217|313.5|187.5|55|59
label::ball|16_02_2018__11_18_08_0076_upper.png|640|480|292|156|341|217|316.5|186.5|49|61
label::ball|16_02_2018__11_18_08_0077_upper.png|640|480|108|2|227|197|167.5|99.5|119|195
label::ball|16_02_2018__11_18_08_0077_upper.png|640|480|289|158|347|214|318.0|186.0|58|56
label::ball|16_02_2018__11_18_08_0078_upper.png|640|480|294|160|342|216|318.0|188.0|48|56
label::ball|16_02_2018__11_18_08_0079_upper.png|640|480|322|168|396|247|359.0|207.5|74|79
label::ball|16_02_2018__11_18_08_0080_upper.png|640|480|161|203|259|283|210.0|243.0|98|80
label::ball|16_02_2018__11_18_08_0081_upper.png|640|480|224|151|301|239|262.5|195.0|77|88
label::ball|16_02_2018__11_18_08_0082_upper.png|640|480|225|217|332|308|278.5|262.5|107|91
label::ball|16_02_2018__11_18_08_0147_upper.png|640|480|0|61|36|160|18.0|110.5|36|99
label::ball|16_02_2018__11_18_08_0200_upper.png|640|480|203|128|223|142|213.0|135.0|20|14
label::ball|16_02_2018__11_18_08_0203_upper.png|640|480|124|67|211|236|167.5|151.5|87|169
label::ball|16_02_2018__11_18_08_0203_upper.png|640|480|193|100|223|141|208.0|120.5|30|41
label::ball|16_02_2018__11_18_08_0203_upper.png|640|480|175|81|209|156|192.0|118.5|34|75
label::ball|16_02_2018__11_18_08_0203_upper.png|640|480|125|75|151|124|138.0|99.5|26|49
label::ball|16_02_2018__11_18_08_0208_upper.png|640|480|148|39|159|55|153.5|47.0|11|16
label::ball|16_02_2018__11_18_08_0264_upper.png|640|480|250|145|270|178|260.0|161.5|20|33
label::ball|16_02_2018__11_18_08_0265_upper.png|640|480|491|182|492|184|491.5|183.0|1|2
label::ball|16_02_2018__11_18_08_0265_upper.png|640|480|464|149|491|182|477.5|165.5|27|33
